"Title","Year Recorded","Year Released","Album name","Record Label","Album type","Track number","Song duration","Songwriter(s)","Lead vocal(s)","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms","Date","Peak  Pos","WoC","WksNo 1","US Cash","US Rec World","AUS[7][61]","UK[5]","US[6]","GER[10]","NLD[12]","FRA","SWI[59]","CAN","POL","Certification"
"FANCYMAN BLUES",1989,"1989","The Singles 1971–2006",NA,NA,NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"FAR AWAY EYES",1977,"1978","Shine a Light","Interscope","Live","9","04:37","Jagger/Richards","Jagger",0.442,0.5785,0.6125,0.010975,0.397,-6.495,0.0304,93.842,0.64625,27.75,285746.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"FEEL ON BABY",1983,"1983","Undercover","Universal","Studio","5","05:06","Jagger/Richards","Jagger",0.0654,0.7235,0.725,0.236,0.06325,-9.8715,0.0403,130.9885,0.9645,16,306919.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"FIGHT",1985,"1986","Dirty Work","Virgin","Studio","2","03:10","Jagger/Richards/Wood","Jagger",0.27,0.4525,0.994,0.06475,0.921,-2.6945,0.055,157.788,0.4515,17,188866,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"FIJI GIN",1978,NA,"bootleg recording/outtake","/","/","/","/","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"FINGERPRINT FILE",1974,"1974","It's Only Rock 'n' Roll","Virgin",NA,"10","06:33","Jagger/Richards","Jagger",0.1795,0.64325,0.804,0.0419075,0.5875,-8.1035,0.053025,105.074,0.796,20.75,354829.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"FLIGHT 505",1965,"1966","Aftermath","ABKCO Records","Studio","7","03:25","Jagger/Richards","Jagger",0.0609666666666667,0.561,0.674,0.0163666666666667,0.278666666666667,-11.1776666666667,0.0476,134.087,0.869666666666667,19.3333333333333,207128.666666667,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"FLIP THE SWITCH",1997,"1997","No Security","Virgin","Live","4","04:12","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","—","—","—","—","—","—","26","—","__"
"FOOL TO CRY",1974,"1976","Black and Blue","Virgin","Studio","7","05:06","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01.05. 1976","06","10","00","9","23","__","6","10","—","8","2","—","11","__",""
"FORTUNE TELLER",1963,"1966","Got Live If You Want It!","ABKCO Records / Universal","Live","6","01:57","Allen Toussaint (under the pseudonym Naomi Neville)","Jagger",0.003885,0.3325,0.9905,1.55e-05,0.2045,-7.3575,0.145,173.877,0.27,7,116926.5,"/ ","/ ","/ ","/ ","—","—","__","—","—","—","—","—","—","—","__",""
"GET OFF OF MY CLOUD",1965,"1965","Got Live If You Want It!","ABKCO Records / Universal","Live","2","02:54","Jagger/Richards","Jagger",0.02045,0.2935,0.8995,0,0.723,-7.913,0.0664,144.728,0.733,8.5,174073,"03.11. 1965","01","12","03","1","2","__","1","1","1","3","7","—","1","__",""
"GET UP, STAND UP (LIVE)",2005,"2012","Light the Fuse",NA,NA,NA,NA,"Bob Marley/Peter Tosh","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"GIMME SHELTER",1969,"1969","Rolling Stones Chronicles",NA,NA,"6","04:30","Jagger/Richards","Jagger, Merry Clayton",0.2038,0.444071428571429,0.877714285714286,0.0116525928571429,0.645857142857143,-5.42021428571429,0.0646857142857143,120.106357142857,0.338785714285714,29.9285714285714,374756.714285714,"20.11. 2010","76","02","00","__","__","__","__","__","__","__","__","__","__","__","__"
"GODZI",1965,NA,"bootleg recording/outtake","/","/","/","/","Nanker Phelge[a]","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"GOING HOME",1965,"1966","Aftermath","ABKCO Records","Studio","11","11:35","Jagger/Richards","Jagger",0.0671666666666667,0.505,0.517,0.0761666666666667,0.213333333333333,-13.0393333333333,0.0515666666666667,130.668666666667,0.464333333333333,17.3333333333333,673261.666666667,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"GOING TO A GO-GO (LIVE)",1981,"1982","Still Life","Virgin","Live","6","03:21","Smokey Robinson/Pete Moore/Bobby Rogers/Marvin Tarplin","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","48","26","25","—","3","—","9","4","—",""
"GOMPER",1967,"1967","Their Satanic Majesties Request","ABKCO Records","Studio","8","05:08","Jagger/Richards","Jagger",0.753666666666667,0.372,0.598333333333333,0.647,0.133133333333333,-9.98433333333333,0.0347666666666667,129.375,0.243333333333333,15,309262,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"GOOD TIMES",1965,"1965","Out of Our Heads","ABKCO Records","Studio","5","01:59","Sam Cooke","Jagger",0.067275,0.666,0.55475,0.00146525,0.39675,-10.3415,0.038575,126.23425,0.76,13.25,118593,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"GOOD TIMES, BAD TIMES",1964,"1964","12 X 5","ABKCO Records","Studio","5","02:31","Jagger/Richards","Jagger",0.06685,0.438,0.5255,0.0053,0.11,-9.73,0.04465,196.894,0.6725,14.5,150180,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"GOODBYE GIRL",1964,NA,"bootleg recording/outtake","/","/","/","/","Wyman","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"GOTTA GET AWAY",1965,"1965","December's Children (And Everybody's)","ABKCO Records","Studio","10","02:07","Jagger/Richards","Jagger",0.066775,0.66775,0.55875,0.58725,0.17625,-8.33325,0.034525,112.93525,0.70575,11.25,126866.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"GROWN UP WRONG",1964,"1964","The Rolling Stones No.2","Decca","Studio","6","01:50","Jagger/Richards","Jagger",0.115333333333333,0.529666666666667,0.56,4.56666666666667e-05,0.282666666666667,-9.844,0.0419333333333333,159.594666666667,0.313666666666667,15.3333333333333,125479.666666667,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"GUNFACE",1997,"1997","Bridges to Babylon","Virgin","Studio","5","05:02","Jagger/Richards","Jagger",0.0008815,0.496,0.8985,0.0003235,0.0602,-4.851,0.05625,98.4665,0.6095,22.5,302133,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HAD IT WITH YOU",1985,"1986","Dirty Work","Virgin","Studio","9","03:20","Jagger/Richards/Wood","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HAND OF FATE",1974,"1975","Black and Blue","Virgin","Studio","2","04:28","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HANG FIRE",1981,"1981","Tattoo You","Virgin","Studio","2","02:20","Jagger/Richards","Jagger",0.06058,0.3938,0.9054,0.21296,0.4226,-4.5618,0.04606,155.6182,0.8612,25.2,142455.4,"/ ","/ ","/ ","/ ","__","__","99","—","20","—","—","—","—","—","—",""
"HAPPY",1971,"1972","Exile on Main St.","Virgin","Studio","10","03:05","Jagger/Richards","Richards",0.188275714285714,0.372214285714286,0.936428571428571,0.282932857142857,0.788214285714286,-4.02,0.0915642857142857,130.616357142857,0.595214285714286,21.3571428571429,202629.071428571,"/ ","/ ","/ ","/ ","14","12","__","—","22","—","—","5","—","9","__",""
"HARLEM SHUFFLE",1985,"1986","Dirty Work","Virgin","Studio","3","03:25","Bob Relf/Ernest Nelson","Jagger",0.0903,0.653,0.948,0.0396002825,0.41825,-3.684,0.07705,121.6805,0.65625,31,221933,"15.03. 1986","13","08","00","__","__","6","13","5","11","5","28","10","2","24",""
"HATE TO SEE YOU GO",2015,"2016","Blue & Lonesome","Interscope / Polydor","Studio","8","03:20","Little Walter","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HAVE YOU SEEN YOUR MOTHER, BABY, STANDING IN THE SHADOW?",1966,"1966","Flowers","ABKCO Records",NA,"2","02:35","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","4","3","__","5","9","9","3","22","—","8","__",""
"HEART OF STONE",1964,"1964","The Rolling Stones, Now!","ABKCO Records","Studio","4","02:49","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","16","15","__","—","19","—","6","24","15","—","__",""
"HEARTS FOR SALE",1989,"1989","Steel Wheels","Virgin","Studio","5","04:40","Jagger/Richards","Jagger",0.183,0.62,0.889,0.006015,0.3245,-7.0095,0.0459,123.478,0.6135,20.5,280566.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HEAVEN",1981,"1981","Tattoo You","Virgin","Studio","9","04:22","Jagger/Richards","Jagger",0.19975,0.61375,0.49375,0.03175,0.18775,-8.1555,0.034775,114.3025,0.114,32,262432.75,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HEY NEGRITA",1975,"1975","Black and Blue","Virgin","Studio","5","04:59","Jagger/Richards","Jagger",0.307,0.691,0.696,0.0038825,0.06685,-7.252,0.04155,85.0235,0.814,27.5,298799.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HIDE YOUR LOVE",1973,"1973","Goats Head Soup","Interscope / Polydor","Studio","7","04:11","Jagger/Richards","Jagger",0.591,0.5135,0.71075,0.77875,0.20525,-6.69225,0.0348,109.376,0.744,22.5,268456.25,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HIGH AND DRY",1966,"1966","Aftermath","ABKCO Records","Studio","8","03:06","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HIGHWAY CHILD",1968,NA,"bootleg recording/outtake","/","/","/","/","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HIGHWIRE",1991,"1991","Flashpoint","Virgin","Live","16","04:46","Jagger/Richards","Jagger",0.02105,0.4545,0.9185,0.006295,0.0523,-4.671,0.04405,126.792,0.812,17.5,286053,"30.03. 1991","29","04","00","__","__","54","29","57","27","6","28","14","10","27",""
"HITCH HIKE",1965,"1965","Out of Our Heads","ABKCO Records","Studio","2","02:26","Marvin Gaye/William ""Mickey"" Stevenson/Clarence Paul","Jagger",0.313,0.74525,0.84275,0.6895,0.030125,-6.98975,0.032675,123.50075,0.96275,12.25,145726.25,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HOLD BACK",1985,"1986","Dirty Work","Virgin","Studio","4","03:52","Jagger/Richards","Jagger",0.00437,0.496,0.997,0.00402,0.3645,-2.9195,0.10475,144.52,0.444,16,232973,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HOLD ON TO YOUR HAT",1989,"1989","Steel Wheels","Virgin","Studio","4","03:32","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HONEST I DO",1964,"1964","The Rolling Stones (UK)England's Newest Hit Makers (US)",NA,NA,NA,NA,"Jimmy Reed","Jagger",0.146666666666667,0.642333333333333,0.373,0.627333333333333,0.197,-10.7156666666667,0.0989,87.4326666666667,0.464,16,129804,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HONEST MAN",1993,NA,"bootleg recording/outtake","/","/","/","/","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HONKY TONK WOMEN",1969,"1969","Get Yer Ya-Ya's Out!","ABKCO Records","Live","9","03:34","Jagger/Richards","Jagger",0.1454712,0.4214,0.9276,0.090043964,0.80636,-5.61476,0.078492,115.92876,0.58696,18.8,248536.12,"15.07. 1969","01","17","05","1","1","__","1","1","2","4","13","1","2","__","RIAA: Gold[60]"
"HOO DOO BLUES",2015,"2016","Blue & Lonesome","Interscope / Polydor","Studio","9","02:36","Otis Hicks/Jerry West","Jagger",0.358,0.461,0.74,0.138,0.301,-4.961,0.0387,70.003,0.597,31,156840,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HOT STUFF",1975,"1976","Black and Blue","Virgin","Studio","1","05:21","Jagger/Richards","Jagger",0.2552,0.702833333333333,0.833666666666667,0.0913316666666667,0.49005,-6.868,0.0503166666666667,104.825166666667,0.799833333333333,23.1666666666667,306727.833333333,"/ ","/ ","/ ","/ ","60","","__","—","49","—","—","—","—","—","__",""
"HOUND DOG",1978,NA,"bootleg recording/outtake","/","/","/","/","Jerry Leiber/Mike Stoller","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"HOW CAN I STOP",1997,"1997","Bridges to Babylon","Virgin","Studio","13","06:53","Jagger/Richards","Richards",0.6905,0.541,0.3085,0.00675,0.1955,-11.163,0.0266,139.42,0.1765,21.5,414020,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I AIN'T SUPERSTITIOUS",1978,NA,"bootleg recording/outtake","/","/","/","/","Willie Dixon","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I AM WAITING",1965,"1966","Aftermath","ABKCO Records","Studio","10","03:10","Jagger/Richards","Jagger",0.575,0.629333333333333,0.383333333333333,3.85e-05,0.0890666666666667,-14.69,0.0388,88.6256666666667,0.624666666666667,21.6666666666667,190915.333333333,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I CAN'T BE SATISFIED",1964,"1965","The Rolling Stones No.2","Decca","Studio","9","03:26","Muddy Waters","Jagger",0.08255,0.632,0.542,0.013453,0.231,-10.5135,0.02985,98.6245,0.7895,19,179113,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"(I CAN'T GET NO) SATISFACTION",1965,"1965","Rolling Stones Chronicles",NA,NA,"2","03:42","Jagger/Richards","Jagger",0.0847174357142857,0.38452380952381,0.937809523809524,0.232362380952381,0.621028571428571,-5.737,0.0904142857142857,146.127047619048,0.499609523809524,22.4285714285714,329141.904761905,"01.09. 1965","01","12","02","1","1","__","1","1","1","1","3","—","3","__","RIAA: Gold[60]
ITA: Platinum
GER: Gold
UK: Platinum[17]"
"I CAN'T QUIT YOU BABY",2015,"2016","Blue & Lonesome","Interscope / Polydor","Studio","12","05:13","Willie Dixon","Jagger",0.226,0.328,0.711,0.0172,0.0669,-5.037,0.0455,182.5,0.17,35,313040,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I DON'T KNOW WHY",1969,"1975","Metamorphosis",NA,"Compilation",NA,NA,"Stevie Wonder/Paul Riser/Don Hunter/Lula Hardaway","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","37","94","__","—","42","—","—","—","—","38","__",""
"I GO WILD",1993,"1994","Voodoo Lounge","Virgin","Studio","8","04:24","Jagger/Richards","Jagger",0.0589633333333333,0.446333333333333,0.939833333333333,0.0060597,0.835333333333333,-5.667,0.0896666666666667,112.292666666667,0.367166666666667,14.6666666666667,396652,"15.07. 1995","29","03","00","__","__","__","29","—","61","48","—","—","44","—","__"
"I GOT THE BLUES",1970,"1971","Sticky Fingers","Virgin","Studio","7","03:55","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I GOTTA GO",2015,"2016","Blue & Lonesome","Interscope / Polydor","Studio","5","03:26","Little Walter","Jagger",0.469,0.579,0.872,0.00286,0.087,-3.102,0.0795,120.033,0.505,34,206173,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I JUST WANT TO MAKE LOVE TO YOU",1964,"1964","The Rolling Stones (UK)England's Newest Hit Makers (US)",NA,NA,NA,NA,"Willie Dixon","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I JUST WANT TO SEE HIS FACE",1971,"1972","Exile on Main St.","Virgin","Studio","13","02:53","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I WANNA BE YOUR MAN",1963,"1963","Milestones (UK)Singles Collection: The London Years (US)",NA,NA,NA,NA,"Lennon–McCartney","Jagger",0.118,0.512,0.763,0.756,0.0983,-6.923,0.0496,82.189,0.695,15,112746,"20.11. 1963","12","16","00","—","—","__","12","—","—","—","—","—","—","__",""
"I WANT TO BE LOVED (VERSION 2)",1963,"1963","Singles Collection: The London Years",NA,"Compilation",NA,NA,"Willie Dixon","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I'D MUCH RATHER BE WITH THE BOYS",1965,"1975","Metamorphosis",NA,"Compilation",NA,NA,"Loog Oldham/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I'M A KING BEE",1964,"1964","The Rolling Stones (UK)England's Newest Hit Makers (US)",NA,NA,NA,NA,"Slim Harpo","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I'M ALRIGHT (LIVE)",1965,"1965","Got Live If You Want It!","ABKCO Records / Universal","Live","10","02:26","Bo Diddley","Jagger, Richards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I'M FREE",1965,"1965","December's Children (And Everybody's)","ABKCO Records","Studio","8","02:24","Jagger/Richards","Jagger",0.196928571428571,0.652857142857143,0.584857142857143,0.0470729857142857,0.358857142857143,-9.11285714285714,0.0333,116.212428571429,0.606,16.7142857142857,160898.571428571,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I'M GOING DOWN",1969,"1975","Metamorphosis",NA,"Compilation",NA,NA,"Jagger/Richards/Taylor","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I'M MOVING ON (LIVE)",1965,"1965","December's Children (And Everybody's)","ABKCO Records","Studio","12","02:13","Hank Snow","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"I'VE BEEN LOVING YOU TOO LONG",1965,"1966","Got Live If You Want It!","ABKCO Records / Universal","Live","5","02:55","Otis Redding/Jerry Butler","Jagger",0.418333333333333,0.289,0.561666666666667,0.113667143333333,0.437,-9.45766666666667,0.0466333333333333,139.897333333333,0.0427,11.3333333333333,229942,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"IF I WAS A DANCER (DANCE PT. 2)",1978,"1980","Sucking in the Seventies",NA,"Compilation",NA,NA,"Jagger/Richards/Wood","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","—","—","—","—","—","—","—","—","—",""
"IF YOU CAN'T ROCK ME",1973,"1974","It's Only Rock 'n' Roll","Virgin",NA,"1","03:47","Jagger/Richards","Jagger",0.192184,0.4558,0.9224,0.0209852,0.684,-5.745,0.0728,131.4792,0.707,23.8,272141,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"IF YOU LET ME",1966,"1975","Metamorphosis",NA,"Compilation",NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"IF YOU NEED ME",1964,"1964","12 X 5","ABKCO Records","Studio","11","02:05","Wilson Pickett/Robert Bateman","Jagger",0.3046,0.405333333333333,0.594,0.000103766666666667,0.183,-9.39666666666667,0.0292666666666667,133.008,0.657333333333333,15.3333333333333,123226.333333333,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"IF YOU REALLY WANT TO BE MY FRIEND",1973,"1974","It's Only Rock 'n' Roll","Virgin",NA,"8","06:17","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"IN ANOTHER LAND",1967,"1967","Their Satanic Majesties Request","ABKCO Records","Studio","3","03:15","Bill Wyman","Wyman",0.473333333333333,0.307666666666667,0.624666666666667,0.00025416,0.358,-10.7586666666667,0.0409666666666667,99.8,0.337,18.3333333333333,194115.333333333,"/ ","/ ","/ ","/ ","62","—","__","—","87","—","—","—","—","—","__",""
"INDIAN GIRL",1979,"1980","Emotional Rescue","Universal","Studio","5","04:23","Jagger/Richards","Jagger",0.0512,0.739,0.43,0.0318,0.1785,-8.1205,0.03795,97.5665,0.5215,24,263319.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"INFAMY",2005,"2005","A Bigger Bang","Virgin","Studio","16","03:47","Jagger/Richards","Richards",0.349,0.7,0.706,0,0.0779,-4.455,0.0384,108.974,0.915,21,227733,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"IT MUST BE HELL",1983,"1983","Undercover","Universal","Studio","10","05:04","Jagger/Richards","Jagger",0.158,0.613,0.8435,0.715,0.3655,-6.6915,0.0516,114.4265,0.773,17,304479.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"IT SHOULD BE YOU",1963,NA,"bootleg recording/outtake","/","/","/","/","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"IT WON'T TAKE LONG",2004,"2005","A Bigger Bang","Virgin","Studio","3","03:54","Jagger/Richards","Jagger",0.0199,0.474,0.927,1.46e-05,0.113,-3.579,0.068,117.37,0.576,24,234960,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"IT'S ALL OVER NOW",1964,"1964","12 X 5","ABKCO Records","Studio","6","03:27","Bobby Womack/Shirley Womack","Jagger",0.121828571428571,0.347,0.824571428571429,0.0263025214285714,0.536428571428571,-8.66671428571428,0.0922,165.676428571429,0.468428571428571,16.5714285714286,228165,"08.07. 1964","01","15","01","25","33","__","1","26","14","1","7","—","26","__",""
